english,vietnamese,exampleSentence,englishMeaning,difficulty,category
salary,lương,This is an example for salary.,"A fixed amount of money paid to a worker, usually calculated on a monthly or annual basis, not hourly, as wages. Implies a degree of professionalism and/or autonomy.",B2,Office
bonus,thưởng,This is an example for bonus.,Something extra that is good; an added benefit.,B1,Office
promotion,thăng chức,This is an example for promotion.,An advancement in rank or position.,B2,Office
resignation,từ chức,This is an example for resignation.,The act of resigning.,C2,Office
retirement,nghỉ hưu,This is an example for retirement.,An act of retiring; withdrawal.,C2,Office
vacation,kỳ nghỉ,This is an example for vacation.,Freedom from some business or activity.,B1,Office
overtime,làm thêm giờ,This is an example for overtime.,Working time outside of one's regular hours.,C2,Office
benefits,phúc lợi,This is an example for benefits.,An advantage; help or aid from something.,C2,Office
insurance,bảo hiểm,This is an example for insurance.,A means of indemnity against a future occurrence of an uncertain event.,C2,Office
software,phần mềm,This is an example for software.,"Encoded computer instructions, usually modifiable (unless stored in some form of unalterable memory such as ROM).",B2,IT
hardware,phần cứng,This is an example for hardware.,"Fixtures, equipment, tools and devices used for general-purpose construction and repair of a structure or object. Also such equipment as sold as stock by a store of the same name, e.g. hardware store.",B2,IT
database,cơ sở dữ liệu,This is an example for database.,"(general) A collection of (usually) organized information in a regular structure, usually but not necessarily in a machine-readable format accessible by a computer.",C1,IT
server,máy chủ,This is an example for server.,"A program that provides services to other programs or devices, either in the same computer or over a computer network.",B2,IT
network,mạng,This is an example for network.,A fabric or structure of fibrous elements attached to each other at regular intervals.,B1,IT
internet,mạng internet,This is an example for internet.,Any set of computer networks that communicate using the Internet Protocol. (An intranet.),C2,IT
website,trang web,This is an example for website.,A collection of interlinked web pages on the World Wide Web that are typically accessible from the same base URL and reside on the same server.,A2,IT
browser,trình duyệt,This is an example for browser.,A person or animal who browses.,C2,IT
link,liên kết,This is an example for link.,Some text or a graphic in an electronic document that can be activated to display another document or trigger an action.,C1,IT
url,địa chỉ web,This is an example for url.,Definition of url.,B1,IT
domain,tên miền,This is an example for domain.,A geographic area owned or controlled by a single person or organization.,C2,IT
hosting,dịch vụ lưu trữ,This is an example for hosting.,To perform the role of a host.,B1,IT
cloud,đám mây,This is an example for cloud.,A rock; boulder; a hill.,C1,IT
storage,lưu trữ,This is an example for storage.,The act of storing goods; the state of being stored.,C1,IT
backup,sao lưu,This is an example for backup.,A reserve or substitute.,C2,IT
security,bảo mật,This is an example for security.,"The condition of not being threatened, especially physically, psychologically, emotionally, or financially.",C2,IT
encryption,mã hóa,This is an example for encryption.,"The process of obscuring information to make it unreadable without special knowledge, key files, or passwords.",C2,IT
firewall,tường lửa,This is an example for firewall.,"A fireproof barrier used to prevent the spread of fire between or through buildings, structures, electrical substation transformers, or within an aircraft or vehicle.",A2,IT
virus,vi-rút,This is an example for virus.,"A submicroscopic, non-cellular structure consisting of a core of DNA or RNA surrounded by a protein coat, that requires a living host cell to replicate, and often causes disease in the host organism.",B2,IT
hacker,tin tặc,This is an example for hacker.,One who is expert at programming and solving problems with a computer.,B2,IT
password,mật khẩu,This is an example for password.,A word used to gain admittance or to gain access to information; watchword.,B2,IT
account,tài khoản,This is an example for account.,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review.",C2,IT
login,đăng nhập,This is an example for login.,"A combination of a user's identification and password used to enter a computer, program, network, etc.",A2,IT
logout,đăng xuất,This is an example for logout.,The act or process of logging out.,C1,IT
signup,đăng ký,This is an example for signup.,"The act of signing up, as for a commercial service.",C2,IT
update,cập nhật,This is an example for update.,An advisement providing more up-to-date information than currently known.,C1,IT
upgrade,nâng cấp,This is an example for upgrade.,An upward grade or slope.,B2,IT
patch,bản vá,This is an example for patch.,"A piece of cloth, or other suitable material, sewed or otherwise fixed upon a garment to repair or strengthen it, especially upon an old garment to cover a hole.",C1,IT
bug,lỗi phần mềm,This is an example for bug.,An insect of the order Hemiptera (the “true bugs”).,A2,IT
glitch,sự cố nhỏ,This is an example for glitch.,A problem affecting function.,C1,IT
crash,sập hệ thống,This is an example for crash.,"A sudden, intense, loud sound, as made for example by cymbals.",B1,IT
reboot,khởi động lại,This is an example for reboot.,An instance of rebooting.,C2,IT
shutdown,tắt máy,This is an example for shutdown.,"The action of stopping operations; a closing, of a computer, business, event, etc.",B1,IT
developer,nhà phát triển,This is an example for developer.,A person or entity engaged in the creation or improvement of certain classes of products.,C2,IT
programmer,lập trình viên,This is an example for programmer.,One who writes computer programs; a software developer.,B2,IT
coding,lập trình,This is an example for coding.,To write software programs.,B1,IT
algorithm,thuật toán,This is an example for algorithm.,A collection of ordered steps that solve a mathematical problem. A precise step-by-step plan for a computational procedure that possibly begins with an input value and yields an output value in a finite number of steps.,C2,IT
api,giao diện lập trình ứng dụng,This is an example for api.,Definition of api.,A2,IT
interface,giao diện,This is an example for interface.,The point of interconnection or contact between entities.,B1,IT
frontend,giao diện người dùng,This is an example for frontend.,That part of a hardware or software system that is conceptually closest to the user; the user interface.,B1,IT
backend,hệ thống máy chủ,This is an example for backend.,"The rear, back, or unseen portion (of something).",B1,IT
fullstack,toàn diện,This is an example for fullstack.,Definition of fullstack.,B1,IT
mobile,di động,This is an example for mobile.,A kinetic sculpture or decorative arrangement made of items hanging so that they can move independently from each other.,B1,IT
app,ứng dụng,This is an example for app.,"An application (program), especially a small one designed for a mobile device.",B1,IT
script,kịch bản,This is an example for script.,A writing; a written document.,B2,IT
automation,tự động hóa,This is an example for automation.,"The act or process of converting the controlling of a machine or device to a more automatic system, such as computer or electronic controls.",C2,IT
ai,trí tuệ nhân tạo,This is an example for ai.,"A type of three-toed sloth, Bradypus tridactylus, endemic to forests of southern Venezuela, the Guianas, and northern Brazil.",C1,IT
machine learning,máy học,This is an example for machine learning.,A field of study concerned with the design and development of algorithms and techniques that allow computers to learn.,C1,IT
blockchain,chuỗi khối,This is an example for blockchain.,A shared record of past transactions in a cryptocurrency network.,C1,IT
crypto,tiền điện tử,This is an example for crypto.,A secret supporter or follower.,A2,IT
trip,chuyến đi,This is an example for trip.,A journey; an excursion or jaunt,B2,Travel
travel,du lịch,This is an example for travel.,The act of traveling; passage from place to place.,A2,Travel
journey,hành trình,This is an example for journey.,"A set amount of travelling, seen as a single unit; a discrete trip, a voyage.",A2,Travel
voyage,chuyến đi biển,This is an example for voyage.,"A long journey, especially by ship.",B2,Travel
tour,chuyến tham quan,This is an example for tour.,"A journey through a particular building, estate, country, etc.",B2,Travel
visit,ghé thăm,This is an example for visit.,A single act of visiting.,C1,Travel
explore,khám phá,This is an example for explore.,An exploration; a tour of a place to see what it is like.,A2,Travel
adventure,cuộc phiêu lưu,This is an example for adventure.,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat.",B1,Travel
holiday,ngày lễ,This is an example for holiday.,"A day on which a festival, religious event, or national celebration is traditionally observed.",C1,Travel
ticket,vé,This is an example for ticket.,"A pass entitling the holder to admission to a show, concert, etc.",A2,Travel
passport,hộ chiếu,This is an example for passport.,"An official document normally used for international journeys, which proves the identity and nationality of the person for whom it was issued.",C1,Travel
visa,thị thực,This is an example for visa.,"A permit to enter and leave a country, normally issued by the authorities of the country to be visited.",B2,Travel
flight,chuyến bay,This is an example for flight.,The act of flying.,A2,Travel
airport,sân bay,This is an example for airport.,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals.",C2,Travel
plane,máy bay,This is an example for plane.,A level or flat surface.,C2,Travel
train,tàu hỏa,This is an example for train.,Elongated portion.,B1,Travel
bus,xe buýt,This is an example for bus.,A motor vehicle for transporting large numbers of people along roads.,A2,Travel
taxi,xe taxi,This is an example for taxi.,"A vehicle that may be hired for single journeys by members of the public, driven by a taxi driver.",C2,Travel
hotel,khách sạn,This is an example for hotel.,"A large town house or mansion; a grand private residence, especially in France.",C1,Travel
resort,khu nghỉ dưỡng,This is an example for resort.,"A place where people go for recreation, especially one with facilities such as lodgings, entertainment, and a relaxing environment.",A2,Travel
hostel,nhà trọ,This is an example for hostel.,"A commercial overnight lodging place, with dormitory accommodation and shared facilities, especially a youth hostel",A2,Travel
camping,cắm trại,This is an example for camping.,To live in a tent or similar temporary accommodation.,A2,Travel
tent,lều,This is an example for tent.,"A pavilion or portable lodge consisting of skins, canvas, or some strong cloth, stretched and sustained by poles, used for sheltering people from the weather.",A2,Travel
luggage,hành lý,This is an example for luggage.,The bags and other containers that hold a traveller's belongings.,C2,Travel
suitcase,vali,This is an example for suitcase.,"A large (usually rectangular) piece of luggage used for carrying clothes, and sometimes suits, when travelling.",C1,Travel
backpack,ba lô,This is an example for backpack.,"A knapsack, sometimes mounted on a light frame, but always supported by straps, worn on a person’s back for the purpose of carrying things, especially when hiking, or on a student's back when carrying books.",B2,Travel
souvenir,quà lưu niệm,This is an example for souvenir.,"An item of sentimental value, to remember an event or location.",C2,Travel
map,bản đồ,This is an example for map.,"A visual representation of an area, whether real or imaginary.",C2,Travel
guide,hướng dẫn,This is an example for guide.,"Someone who guides, especially someone hired to show people around a place or an institution and offer information and explanation.",B1,Travel
itinerary,lịch trình,This is an example for itinerary.,A written schedule of activities for a vacation or road trip.,B2,Travel
destination,điểm đến,This is an example for destination.,The act of destining or appointing.,C2,Travel
location,vị trí,This is an example for location.,A particular point or place in physical space.,B2,Travel
sightseeing,ngắm cảnh,This is an example for sightseeing.,"To go sightseeing; to visit places of interest in a city, town or geographical area.",A2,Travel
beach,bãi biển,This is an example for beach.,"The shore of a body of water, especially when sandy or pebbly.",A2,Travel
mountain,núi,This is an example for mountain.,"An elevation of land of considerable dimensions rising more or less abruptly, forming a conspicuous figure in the landscape, usually having a small extent of surface at its summit.",B1,Travel
forest,rừng,This is an example for forest.,"A dense uncultivated tract of trees and undergrowth, larger than woods.",A2,Travel
lake,hồ,This is an example for lake.,A small stream of running water; a channel for water; a drain.,B1,Travel
river,sông,This is an example for river.,"A large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water, such as an ocean or in an inland sea.",A2,Travel
ocean,đại dương,This is an example for ocean.,One of the large bodies of water separating the continents.,C2,Travel
island,hòn đảo,This is an example for island.,"A contiguous area of land, smaller than a continent, totally surrounded by water.",C1,Travel
town,thị trấn,This is an example for town.,"A settlement; an area with residential districts, shops and amenities, and its own local government; especially one larger than a village and smaller than a city.",C1,Travel
village,ngôi làng,This is an example for village.,A rural habitation of size between a hamlet and a town.,C1,Travel
culture,văn hóa,This is an example for culture.,"The arts, customs, lifestyles, background, and habits that characterize a particular society or nation.",C1,Travel
tradition,truyền thống,This is an example for tradition.,"A part of culture that is passed from person to person or generation to generation, possibly differing in detail from family to family, such as the way to celebrate holidays.",B2,Travel
custom,phong tục,This is an example for custom.,"Frequent repetition of the same behavior; way of behavior common to many; ordinary manner; habitual practice; method of doing, living or behaving.",B1,Travel
language,ngôn ngữ,This is an example for language.,"A body of words, and set of methods of combining them (called a grammar), understood by a community and used as a form of communication.",C1,Travel
abroad,nước ngoài,This is an example for abroad.,Countries or lands abroad.,C1,Travel
meal,bữa ăn,This is an example for meal.,"Food that is prepared and eaten, usually at a specific time, and usually in a comparatively large quantity (as opposed to a snack).",C2,Culinary
breakfast,bữa sáng,This is an example for breakfast.,"The first meal of the day, usually eaten in the morning.",A2,Culinary
lunch,bữa trưa,This is an example for lunch.,"A light meal usually eaten around midday, notably when not as main meal of the day.",A2,Culinary
dinner,bữa tối,This is an example for dinner.,A midday meal (in a context in which the evening meal is called supper or tea).,C1,Culinary
snack,món ăn nhẹ,This is an example for snack.,A light meal.,C2,Culinary
dessert,món tráng miệng,This is an example for dessert.,A sweet confection served as the last course of a meal,C2,Culinary
recipe,công thức,This is an example for recipe.,"A formula for preparing or using a medicine; a prescription; also, a medicine prepared from such instructions.",C2,Culinary
ingredient,thành phần,This is an example for ingredient.,"One of the substances present in a mixture, especially food.",B1,Culinary
cook,nấu ăn,This is an example for cook.,A person who prepares food.,A2,Culinary
chef,đầu bếp,This is an example for chef.,The presiding cook in the kitchen of a large household.,B2,Culinary
restaurant,nhà hàng,This is an example for restaurant.,"An eating establishment in which diners are served food, usually by waiters at their tables but sometimes (as in a fast food restaurant) at a counter.",B1,Culinary
cafe,quán cà phê,This is an example for cafe.,"A convenience store, originally one that sold coffee and similar basic items.",B1,Culinary
menu,thực đơn,This is an example for menu.,The details of the food to be served at a banquet; a bill of fare.,B2,Culinary
order,đặt món,This is an example for order.,"Arrangement, disposition, or sequence.",C2,Culinary
bill,hóa đơn,This is an example for bill.,"Any of various bladed or pointed hand weapons, originally designating an Anglo-Saxon sword, and later a weapon of infantry, especially in the 14th and 15th centuries, commonly consisting of a broad, heavy, double-edged, hook-shaped blade, with a short pike at the back and another at the top, attached to the end of a long staff.",A2,Culinary
tip,tiền boa,This is an example for tip.,The tip of the external ear.,A2,Culinary
kitchen,nhà bếp,This is an example for kitchen.,A room or area for preparing food.,C1,Culinary
stove,bếp,This is an example for stove.,"A heater, a closed apparatus to burn fuel for the warming of a room.",A2,Culinary
oven,lò nướng,This is an example for oven.,A chamber used for baking or heating.,B1,Culinary
fridge,tủ lạnh,This is an example for fridge.,A refrigerator.,B2,Culinary
sink,bồn rửa,This is an example for sink.,A basin used for holding water for washing.,A2,Culinary
pan,chảo,This is an example for pan.,"A wide, flat receptacle used around the house, especially for cooking.",B1,Culinary
pot,nồi,This is an example for pot.,A flat-bottomed vessel (usually metal) used for cooking food.,A2,Culinary
knife,dao,This is an example for knife.,"A utensil or a tool designed for cutting, consisting of a flat piece of hard material, usually steel or other metal (the blade), usually sharpened on one edge, attached to a handle. The blade may be pointed for piercing.",C2,Culinary
fork,nĩa,This is an example for fork.,"A pronged tool having a long straight handle, used for digging, lifting, throwing etc.",B1,Culinary
spoon,muỗng,This is an example for spoon.,"An implement for eating or serving; a scooped utensil whose long handle is straight, in contrast to a ladle.",C1,Culinary
plate,đĩa,This is an example for plate.,A slightly curved but almost flat dish from which food is served or eaten.,C1,Culinary
bowl,tô,This is an example for bowl.,"A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items.",B2,Culinary
cup,chén,This is an example for cup.,"A concave vessel for drinking from, usually made of opaque material (as opposed to a glass) and with a handle.",C1,Culinary
glass,ly,This is an example for glass.,To apply fibreglass to.,B1,Culinary
bottle,chai,This is an example for bottle.,"A container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids.",B1,Culinary
wine,rượu vang,This is an example for wine.,An alcoholic beverage made by fermenting the juice of grapes.,B2,Culinary
beer,bia,This is an example for beer.,"An alcoholic drink fermented from starch material, commonly barley malt, often with hops or some other substance to impart a bitter flavor.",A2,Culinary
meat,thịt,This is an example for meat.,The flesh (muscle tissue) of an animal used as food.,C2,Culinary
fish,cá,This is an example for fish.,"A cold-blooded vertebrate animal that lives in water, moving with the help of fins and breathing with gills.",C2,Culinary
vegetable,rau,This is an example for vegetable.,Any plant.,A2,Culinary
fruit,trái cây,This is an example for fruit.,"(often in the plural) In general, a product of plant growth useful to man or animals.",C2,Culinary
bread,bánh mì,This is an example for bread.,A foodstuff made by baking dough made from cereals.,C2,Culinary
rice,cơm,This is an example for rice.,"Cereal plants, Oryza sativa of the grass family whose seeds are used as food.",B2,Culinary
noodle,mì,This is an example for noodle.,(usually in the plural) a string or strip of pasta,A2,Culinary
soup,súp,This is an example for soup.,"Any of various dishes commonly made by combining liquids, such as water or stock with other ingredients, such as meat and vegetables, that contribute flavor and texture.",A2,Culinary
salad,sa lát,This is an example for salad.,"A food made primarily of a mixture of raw or cold ingredients, typically vegetables, usually served with a dressing such as vinegar or mayonnaise.",B1,Culinary
spices,gia vị,This is an example for spices.,Aromatic or pungent plant matter (usually dried) used to season or flavour food.,C2,Culinary
sugar,đường,This is an example for sugar.,"Sucrose in the form of small crystals, obtained from sugar cane or sugar beet and used to sweeten food and drink.",B1,Culinary
salt,muối,This is an example for salt.,"A common substance, chemically consisting mainly of sodium chloride (NaCl), used extensively as a condiment and preservative.",A2,Culinary
pepper,tiêu,This is an example for pepper.,A plant of the family Piperaceae.,A2,Culinary
oil,dầu,This is an example for oil.,Liquid fat.,C1,Culinary
butter,bơ,This is an example for butter.,"A soft, fatty foodstuff made by churning the cream of milk (generally cow's milk).",B2,Culinary
apartment,căn hộ,This is an example for apartment.,"A complete domicile occupying only part of a building, especially one for rent; a flat.",B1,Housing
flat,căn hộ,This is an example for flat.,An area of level ground.,B2,Housing
building,tòa nhà,This is an example for building.,The act or process by which something is built; construction.,B2,Housing
bedroom,phòng ngủ,This is an example for bedroom.,A room in a house where a bed is kept for sleeping.,B1,Housing
bathroom,phòng tắm,This is an example for bathroom.,"A room containing a shower and/or bathtub, and (typically but not necessarily) a toilet.",B1,Housing
living room,phòng khách,This is an example for living room.,A room in a private house used for general social and leisure activities.,B2,Housing
garden,vườn,This is an example for garden.,"An outdoor area containing one or more types of plants, usually plants grown for food or ornamental purposes.",B2,Housing
balcony,ban công,This is an example for balcony.,"An accessible structure extending from a building, especially outside a window.",B2,Housing
roof,mái nhà,This is an example for roof.,The external covering at the top of a building.,C2,Housing
ceiling,trần nhà,This is an example for ceiling.,"To line or finish (a surface, such as a wall), with plaster, stucco, thin boards, or similar.",B1,Housing
stairs,cầu thang,This is an example for stairs.,A single step in a staircase.,B2,Housing
lift,thang máy,This is an example for lift.,An act of lifting or raising.,A2,Housing
garage,ga-ra,This is an example for garage.,"A building (or section of a building) used to store a car or cars, tools and other miscellaneous items.",C1,Housing
driveway,lối đi vào,This is an example for driveway.,Short private road that leads to a house or garage.,B1,Housing
fence,hàng rào,This is an example for fence.,A thin artificial barrier that separates two pieces of land or a house perimeter.,C2,Housing
gate,cổng,This is an example for gate.,A doorlike structure outside a house.,A2,Housing
yard,sân,This is an example for yard.,"A small, usually uncultivated area adjoining or (now especially) within the precincts of a house or other building.",C1,Housing
furniture,nội thất,This is an example for furniture.,"Large movable item(s), usually in a room, which enhance(s) the room's characteristics, functionally or decoratively.",B2,Housing
wardrobe,tủ quần áo,This is an example for wardrobe.,"A room for keeping clothes and armor safe, particularly a dressing room or walk-in closet beside a bedroom.",B2,Housing
shelf,kệ,This is an example for shelf.,"A flat, rigid structure, fixed at right angles to a wall or forming a part of a cabinet, desk etc., and used to support, store or display objects.",C2,Housing
lamp,đèn,This is an example for lamp.,"A device that generates heat, light or other radiation. Especially an electric light bulb.",B2,Housing
mirror,gương,This is an example for mirror.,"A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.",C1,Housing
carpet,thảm,This is an example for carpet.,A fabric used as a complete floor covering.,C1,Housing
curtain,rèm,This is an example for curtain.,"A piece of cloth covering a window, bed, etc. to offer privacy and keep out light.",C1,Housing
painting,bức tranh,This is an example for painting.,To apply paint to.,B1,Housing
appliance,thiết bị,This is an example for appliance.,"An implement, an instrument or apparatus designed (or at least used) as a means to a specific end (often specified), especially:",C2,Housing
heating,sưởi ấm,This is an example for heating.,"To cause an increase in temperature of (an object or space); to cause to become hot (often with ""up"").",B1,Housing
cooling,làm mát,This is an example for cooling.,"To lose heat, to get colder.",A2,Housing
ventilation,thông gió,This is an example for ventilation.,The replacement of stale or noxious air with fresh.,C2,Housing
insulation,cách nhiệt,This is an example for insulation.,The act of insulating; detachment from other objects; isolation.,B1,Housing
plumbing,hệ thống ống nước,This is an example for plumbing.,"The pipes, together with the joints, tanks, stopcocks, taps and other fixtures of a water, gas or sewage system in a house or other building.",C1,Housing
electricity,điện,This is an example for electricity.,"Originally, a property of amber and certain other nonconducting substances to attract lightweight material when rubbed, or the cause of this property; now understood to be a phenomenon caused by the distribution and movement of charged subatomic particles and their interaction with the electromagnetic field.",C1,Housing
rent,thuê,This is an example for rent.,A payment made by a tenant at intervals in order to occupy a property.,B2,Housing
lease,hợp đồng thuê,This is an example for lease.,(chiefly dialectal) To gather.,C1,Housing
mortgage,thế chấp,This is an example for mortgage.,"A special form of secured loan where the purpose of the loan must be specified to the lender, to purchase assets that must be fixed (not movable) property, such as a house or piece of farm land. The assets are registered as the legal property of the borrower but the lender can seize them and dispose of them if they are not satisfied with the manner in which the repayment of the loan is conducted by the borrower. Once the loan is fully repaid, the lender loses this right of seizure and the assets are then deemed to be unencumbered.",C2,Housing
neighborhood,khu phố,This is an example for neighborhood.,"The quality of being a neighbor, of living nearby, next to each-other; proximity.",B1,Housing
suburb,ngoại ô,This is an example for suburb.,"A residential area located on the outskirts of a city or large town that usually includes businesses that cater to its residents; such as schools, grocery stores, shopping centers, restaurants, convenience stores, etc.",B2,Housing
